title,production_company,country,language,running_time,budget,box_office,release_date,imdb,directed_by,produced_by,based_on,distributed_by,release_location
Academy Award Review of,Walt Disney Productions,United States,English,41.0,0.0,0.0,1937-05-19,7.2,Unknown,Unknown,No based,Unknown,Unknown
Snow White and the Seven Dwarfs,Walt Disney Productions,United States,English,83.0,1.49,418.0,1937-12-21,7.6,David Hand,Walt Disney,Snow white,RKO Radio Pictures,Carthay Circle Theatre  Los Angeles  CA
Pinocchio,Walt Disney Productions,United States,English,88.0,2.6,164.0,1940-02-07,7.4,Ben Sharpsteen,Walt Disney,The adventures of pinocchio,RKO Radio Pictures,Center Theatre
Fantasia,Walt Disney Productions,United States,English,126.0,2.28,83.3,1940-11-13,7.8,Samuel Armstrong,Walt Disney,No based,Walt Disney Productions,Unknown
The Reluctant Dragon,Walt Disney Productions,United States,English,74.0,0.6,0.96,1941-06-20,6.9,Alfred Werker,Walt Disney,No based,RKO Radio Pictures,Unknown
Dumbo,Walt Disney Productions,United States,English,64.0,0.95,1.3,1941-10-23,7.2,Ben Sharpsteen,Walt Disney,"Dumbo, the flying elephant",RKO Radio Pictures,New York City
Bambi,Walt Disney Productions,United States,English,70.0,0.858,267.4,1942-08-09,7.3,David Hand,Walt Disney,"Bambi, a life in the woods",RKO Radio Pictures,London
Saludos Amigos,Walt Disney Productions,United States,English,42.0,0.0,1.135,1942-08-24,6.1,Norman Ferguson,Walt Disney,No based,RKO Radio Pictures,Rio de Janeiro
Saludos Amigos,Walt Disney Productions,United States,Portuguese,42.0,0.0,1.135,1942-08-24,6.1,Norman Ferguson,Walt Disney,No based,RKO Radio Pictures,Rio de Janeiro
Saludos Amigos,Walt Disney Productions,United States,Spanish,42.0,0.0,1.135,1942-08-24,6.1,Norman Ferguson,Walt Disney,No based,RKO Radio Pictures,Rio de Janeiro
Victory Through Air Power,Walt Disney Productions,United States,English,65.0,0.788,0.799,1943-07-17,6.5,James Algar,Walt Disney,Victory through air power,United Artists,Unknown
The Three Caballeros,Walt Disney Productions,United States,English,71.0,0.0,3.355,1944-12-21,6.4,Norman Ferguson,Walt Disney,No based,RKO Radio Pictures,Mexico City
The Three Caballeros,Walt Disney Productions,United States,Spanish,71.0,0.0,3.355,1944-12-21,6.4,Norman Ferguson,Walt Disney,No based,RKO Radio Pictures,Mexico City
The Three Caballeros,Walt Disney Productions,United States,Portuguese,71.0,0.0,3.355,1944-12-21,6.4,Norman Ferguson,Walt Disney,No based,RKO Radio Pictures,Mexico City
Make Mine Music,Walt Disney Productions,United States,English,75.0,1.35,3.275,1946-04-20,6.3,Jack Kinney,Walt Disney,Casey at the bat,RKO Radio Pictures,New York City
Song of the South,Walt Disney Productions,United States,English,94.0,2.125,65.0,1946-11-12,7.1,Live action:,Walt Disney,Uncle remus,RKO Radio Pictures,: Atlanta Georgia
Fun and Fancy Free,Walt Disney Productions,United States,English,73.0,0.0,3.165,1947-09-27,6.6,Jack Kinney,Walt Disney,Sinclair lewis ( bongo ) jack and the beanstalk ( mickey and the beanstalk ),RKO Radio Pictures,Unknown
Melody Time,Walt Disney Productions,United States,English,75.0,1.5,2.56,1948-05-27,6.4,Jack Kinney,Walt Disney,No based,RKO Radio Pictures,Unknown
So Dear to My Heart,Walt Disney Productions,United States,English,82.0,1.5,3.7,1948-11-29,6.8,Harold D. Schuster,Walt Disney,Midnight and jeremiah,RKO Radio Pictures,Chicago Illinois
The Adventures of Ichabod and Mr. Toad,Walt Disney Productions,United States,English,68.0,0.0,1.625,1949-10-05,7.0,Jack Kinney,Walt Disney,Kenneth grahame ( the wind in the willows ) the legend of sleepy hollow washington irving ( the legend of sleepy hollow ),RKO Radio Pictures,Unknown
Cinderella,Walt Disney Productions,United States,English,74.0,2.9,263.6,1950-02-15,6.9,Clyde Geronimi,Walt Disney,Cinderella,RKO Radio Pictures,Boston
Treasure Island,Walt Disney Productions,United States,English,96.0,1.8,4.1,1950-06-22,6.9,Byron Haskin,Walt Disney,Treasure island,RKO Radio Pictures,London
Treasure Island,Walt Disney Productions,United Kingdom,English,96.0,1.8,4.1,1950-06-22,6.9,Byron Haskin,Walt Disney,Treasure island,RKO Radio Pictures,London
Alice in Wonderland,Walt Disney Productions,United States,English,75.0,3.0,5.6,1951-07-26,6.4,Clyde Geronimi,Walt Disney,"Alices adventures in wonderland, and through the looking-glass",RKO Radio Pictures,London
The Story of Robin Hood and His Merrie Men,Walt Disney Productions,United States,English,84.0,0.0,2.1,1952-03-13,6.7,Ken Annakin,Perce Pearce,No based,RKO Radio Pictures,London
The Story of Robin Hood and His Merrie Men,Walt Disney Productions,United Kingdom,English,84.0,0.0,2.1,1952-03-13,6.7,Ken Annakin,Perce Pearce,No based,RKO Radio Pictures,London
The Story of Robin Hood and His Merrie Men,RKO Radio Pictures,United States,English,84.0,0.0,2.1,1952-03-13,6.7,Ken Annakin,Perce Pearce,No based,RKO Radio Pictures,London
The Story of Robin Hood and His Merrie Men,RKO Radio Pictures,United Kingdom,English,84.0,0.0,2.1,1952-03-13,6.7,Ken Annakin,Perce Pearce,No based,RKO Radio Pictures,London
The Story of Robin Hood and His Merrie Men,Inc.,United States,English,84.0,0.0,2.1,1952-03-13,6.7,Ken Annakin,Perce Pearce,No based,RKO Radio Pictures,London
The Story of Robin Hood and His Merrie Men,Inc.,United Kingdom,English,84.0,0.0,2.1,1952-03-13,6.7,Ken Annakin,Perce Pearce,No based,RKO Radio Pictures,London
Peter Pan,Walt Disney Productions,United States,English,77.0,4.0,87.4,1953-02-05,7.3,Clyde Geronimi,Walt Disney,Peter and wendy,RKO Radio Pictures,United States
The Sword and the Rose,Walt Disney Productions,United Kingdom,English,92.0,2.0,1.0,1953-08-08,6.4,Ken Annakin,Perce Pearce,No based,RKO Radio Pictures,US
The Sword and the Rose,Walt Disney Productions,United States,English,92.0,2.0,1.0,1953-08-08,6.4,Ken Annakin,Perce Pearce,No based,RKO Radio Pictures,US
The Living Desert,Walt Disney Productions,United States,English,69.0,0.3,2.6,1953-11-10,7.5,James Algar,Ben Sharpsteen,No based,Buena Vista Distribution,Unknown
"Rob Roy, the Highland Rogue",Walt Disney Productions,United Kingdom,English,81.0,1.8,0.0,1953-10-26,6.3,Harold French,Perce Pearce,No based,RKO Radio Pictures,London
"Rob Roy, the Highland Rogue",Walt Disney Productions,United States,English,81.0,1.8,0.0,1953-10-26,6.3,Harold French,Perce Pearce,No based,RKO Radio Pictures,London
The Vanishing Prairie,Walt Disney Productions,United States,English,60.0,0.0,1.75,1954-08-17,7.7,James Algar,Ben Sharpsteen,No based,Buena Vista Distribution,Unknown
"20,000 Leagues Under the Sea",Walt Disney Productions,United States,English,127.0,5.0,28.2,1954-12-23,7.2,Richard Fleischer,Walt Disney,Twenty thousand leagues under the sea,Buena Vista Distribution,Unknown
"Davy Crockett, King of the Wild Frontier",Walt Disney Productions,United States,English,92.0,0.0,2.15,1955-05-25,7.0,Norman Foster,Bill Walsh,No based,Buena Vista Film Distribution Co.,Unknown
Lady and the Tramp,Walt Disney Productions,United States,English,76.0,4.0,187.0,1955-06-22,7.3,Clyde Geronimi,Walt Disney,"Happy dan, the cynical dog",Buena Vista Film Distribution,Unknown
The African Lion,Walt Disney Productions,United States,English,75.0,0.0,2.1,1955-09-14,7.2,James Algar,Ben Sharpsteen,No based,Buena Vista Distribution,Unknown
The Littlest Outlaw,Walt Disney Productions,United States,English,73.0,0.0,1.6,1955-12-22,6.1,Roberto Gavaldón,Unknown,No based,Buena Vista Distribution,Unknown
The Littlest Outlaw,Walt Disney Productions,United States,Spanish,73.0,0.0,1.6,1955-12-22,6.1,Roberto Gavaldón,Unknown,No based,Buena Vista Distribution,Unknown
The Littlest Outlaw,Walt Disney Productions,Mexico,English,73.0,0.0,1.6,1955-12-22,6.1,Roberto Gavaldón,Unknown,No based,Buena Vista Distribution,Unknown
The Littlest Outlaw,Walt Disney Productions,Mexico,Spanish,73.0,0.0,1.6,1955-12-22,6.1,Roberto Gavaldón,Unknown,No based,Buena Vista Distribution,Unknown
The Great Locomotive Chase,Walt Disney Productions,United States,English,85.0,0.0,1.7,1956-06-08,6.9,Francis D. Lyon,Lawrence Edward Watkin,No based,Buena Vista Distribution,Unknown
Davy Crockett and the River Pirates,Walt Disney Productions,United States,English,81.0,0.0,0.0,1956-07-18,6.8,Norman Foster,Bill Walsh,No based,Buena Vista Film Distribution Co.,Unknown
Secrets of Life,Walt Disney Productions,United States,English,70.0,0.0,0.0,1956-11-06,7.8,James Algar,Ben Sharpsteen,No based,Buena Vista Distribution,Unknown
Westward Ho the Wagons!,Walt Disney Productions,United States,English,90.0,0.0,2.75,1956-12-20,5.8,William Beaudine,Bill Walsh,A novel,Buena Vista Distribution,Unknown
Johnny Tremain,Walt Disney Productions,United States,English,80.0,0.7,0.0,1957-06-19,6.5,Robert Stevenson,Walt Disney,No based,Buena Vista Distribution,Unknown
Perri,Walt Disney Productions,United States,English,75.0,0.0,1.75,1957-08-28,7.2,N. Paul Kenworthy,Winston Hibler,No based,Buena Vista Distribution,Unknown
Old Yeller,Walt Disney Productions,United States,English,83.0,0.0,6.25,1957-12-25,7.3,Robert Stevenson,Walt Disney,Old yeller,Buena Vista Distribution,Unknown
The Light in the Forest,Walt Disney Productions,United States,English,83.0,0.0,0.0,1958-07-09,6.4,Herschel Daugherty,Walt Disney,Novel,Buena Vista Distribution,Unknown
White Wilderness,Walt Disney Productions,United States,English,72.0,0.0,1.8,1958-08-12,5.1,James Algar,Ben Sharpsteen,No based,Buena Vista Distribution,Unknown
White Wilderness,Walt Disney Productions,Canada,English,72.0,0.0,1.8,1958-08-12,5.1,James Algar,Ben Sharpsteen,No based,Buena Vista Distribution,Unknown
Tonka,Walt Disney Productions,United States,English,97.0,0.0,2.5,1958-12-25,6.5,Lewis R. Foster,James C. Pratt,No based,Buena Vista Distribution,Unknown
Sleeping Beauty,Walt Disney Productions,United States,English,75.0,6.0,51.6,1959-01-29,7.2,Clyde Geronimi,Walt Disney,Sleeping beauty,Buena Vista Distribution,Unknown
The Shaggy Dog,Walt Disney Productions,United States,English,104.0,1.0,12.3,1959-03-19,4.4,Charles Barton,Walt Disney,The hound of florence,Buena Vista Distribution,Unknown
Darby O'Gill and the Little People,Walt Disney Productions,United States,English,93.0,0.0,0.0,1959-06-24,7.2,Robert Stevenson,Bill Anderson,No based,Buena Vista Distribution,Dublin
Darby O'Gill and the Little People,Walt Disney Productions,United States,Irish,93.0,0.0,0.0,1959-06-24,7.2,Robert Stevenson,Bill Anderson,No based,Buena Vista Distribution,Dublin
Third Man on the Mountain,Walt Disney Productions,United States,English,105.0,2.0,1.7,1959-11-10,7.2,Ken Annakin,Bill Anderson,Banner in the sky,Buena Vista Distribution,Unknown
Toby Tyler,Walt Disney Productions,United States,English,95.0,0.0,3.1,1960-01-21,7.0,Charles Barton,Bill Walsh,To,Buena Vista Distribution,Sarasota FL
Kidnapped,Walt Disney Productions,United States,English,97.0,0.0,0.0,1960-02-24,7.6,Robert Stevenson,Walt Disney,Kidnapped,Buena Vista Distribution,Unknown
Kidnapped,Walt Disney Productions,United States,Scots,97.0,0.0,0.0,1960-02-24,7.6,Robert Stevenson,Walt Disney,Kidnapped,Buena Vista Distribution,Unknown
Pollyanna,Walt Disney Productions,United States,English,134.0,2.5,3.75,1960-05-19,7.4,David Swift,David Swift,Pollyanna,Buena Vista Distribution,Unknown
Jungle Cat,Walt Disney Productions,United States,English,69.0,0.0,2.3,1960-08-10,7.4,James Algar,Ben Sharpsteen,No based,Buena Vista Distribution,Unknown
Ten Who Dared,Walt Disney Productions,United States,English,92.0,0.0,0.0,1960-11-01,5.7,William Beaudine,Walt Disney,Journal,Buena Vista Distribution,Unknown
Swiss Family Robinson,Walt Disney Productions,United States,English,126.0,4.0,40.0,1960-12-21,7.2,John McKimson,Bill Anderson,The swiss family robinson,Buena Vista Distribution,Unknown
One Hundred and One Dalmatians,Walt Disney Productions,United States,English,79.0,3.6,303.0,1961-01-25,7.2,Clyde Geronimi,Walt Disney,The hundred and one dalmatians,Buena Vista Pictures Distribution,Unknown
The Absent-Minded Professor,Walt Disney Productions,United States,English,97.0,0.0,25.4,1961-03-16,6.7,Robert Stevenson,Bill Walsh,A situation of gravity 1922 short story,Buena Vista Distribution,Unknown
The Parent Trap,Walt Disney Productions,United States,English,128.0,0.0,25.1,1961-06-21,6.5,David Swift,Walt Disney,Lottie and lisa 1949 novel,Buena Vista Distribution,Unknown
"Nikki, Wild Dog of the North",Walt Disney Productions,United States,English,74.0,0.0,0.0,1961-07-12,6.9,Jack Couffer,Winston Hibler,Nomads of the north,Buena Vista Distribution,Unknown
Greyfriars Bobby,Walt Disney Productions,United States,English,91.0,0.0,0.0,1961-07-17,7.3,Don Chaffey,Hugh Attwooll,No based,Buena Vista Distribution,Unknown
Babes in Toyland,Walt Disney Productions,United States,English,105.0,3.0,4.6,1961-12-14,6.3,Jack Donohue,Walt Disney,Babes in toyland,Buena Vista Distribution,Unknown
Moon Pilot,Walt Disney Productions,United States,English,98.0,0.0,3.5,1962-04-05,5.4,James Neilson,Walt Disney,No based,Buena Vista Distribution,Unknown
Bon Voyage!,Walt Disney Productions,United States,English,130.0,3.0,5.0,1962-05-17,5.8,James Neilson,Walt Disney,Novel,Buena Vista Distribution,Unknown
Big Red,Walt Disney Productions,United States,English,89.0,0.0,0.0,1962-06-06,6.5,Norman Tokar,Walt Disney,No based,Buena Vista Distribution,Unknown
Almost Angels,Walt Disney Productions,United States,English,93.0,0.0,0.0,1962-09-26,6.6,Steve Previn,Walt Disney,No based,Buena Vista Distribution,Unknown
The Legend of Lobo,Walt Disney Productions,United States,English,67.0,0.0,0.0,1962-11-07,7.0,James Algar,Walt Disney,No based,Buena Vista Distribution,Los Angeles
In Search of the Castaways,Walt Disney Productions,United States,English,98.0,0.0,21.7455,1962-12-19,6.6,Robert Stevenson,Associate Producer:,Novel in search of the castaways,Buena Vista Distribution,Unknown
Son of Flubber,Walt Disney Productions,United States,English,100.0,0.0,22.1,1963-01-16,6.1,Robert Stevenson,Walt Disney,No based,Buena Vista Distribution,Unknown
Miracle of the White Stallions,Walt Disney Productions,United States,English,118.0,0.0,2.55,1963-03-29,6.6,Arthur Hiller,Ron Miller,The dancing white horses of vienna,Buena Vista Distribution,U.S.
Savage Sam,Walt Disney Productions,United States,English,103.0,0.0,3.0,1963-06-01,6.2,Norman Tokar,Ron Miller,Savage sam,Buena Vista Distribution,Unknown
Summer Magic,Walt Disney Productions,United States,English,110.0,0.0,4.35,1963-07-07,7.1,James Neilson,Ron Miller,No based,Buena Vista Distribution,Unknown
The Incredible Journey,Walt Disney Productions,United States,English,80.0,0.0,4.2,1963-11-20,7.1,Fletcher Markle,James Algar,The incredible journey,Buena Vista Distribution,Unknown
The Incredible Journey,Walt Disney Productions,Canada,English,80.0,0.0,4.2,1963-11-20,7.1,Fletcher Markle,James Algar,The incredible journey,Buena Vista Distribution,Unknown
The Sword in the Stone,Walt Disney Productions,United States,English,79.0,3.0,22.2,1963-12-25,7.2,Wolfgang Reitherman,Walt Disney,The sword in the stone,Buena Vista Distribution,Unknown
A Tiger Walks,Walt Disney Productions,United States,English,91.0,0.0,1.6,1964-03-12,6.4,Norman Tokar,Bill Anderson,A tiger walks,Buena Vista Distribution,Unknown
The Misadventures of Merlin Jones,Walt Disney Productions,United States,English,91.0,0.0,4.0,1964-02-11,6.4,Robert Stevenson,Walt Disney,No based,Buena Vista Distribution,Los Angeles
The Three Lives of Thomasina,Walt Disney Productions,United Kingdom,English,97.0,0.0,2.25,1963-12-11,7.2,Don Chaffey,Ron Miller,No based,Buena Vista Distribution,' 'New York City New York' '
The Three Lives of Thomasina,Walt Disney Productions,United Kingdom,Gaelic,97.0,0.0,2.25,1963-12-11,7.2,Don Chaffey,Ron Miller,No based,Buena Vista Distribution,' 'New York City New York' '
The Three Lives of Thomasina,Walt Disney Productions,United States,English,97.0,0.0,2.25,1963-12-11,7.2,Don Chaffey,Ron Miller,No based,Buena Vista Distribution,' 'New York City New York' '
The Three Lives of Thomasina,Walt Disney Productions,United States,Gaelic,97.0,0.0,2.25,1963-12-11,7.2,Don Chaffey,Ron Miller,No based,Buena Vista Distribution,' 'New York City New York' '
The Moon-Spinners,Walt Disney Productions,nan,English,118.0,0.0,3.5,1964-07-02,6.7,James Neilson,Ron Miller,The moon-spinners,Buena Vista Distribution,Unknown
Mary Poppins,Walt Disney Productions,United States,English,139.0,4.4,103.1,1964-08-27,7.8,Robert Stevenson,Walt Disney,Mary poppins,Buena Vista Distribution,Unknown
Emil and the Detectives,Walt Disney Productions,United States,English,92.0,0.0,1.275,1964-12-18,6.0,Peter Tewksbury,John McKimson,Emil and the detectives,Buena Vista Distribution,Unknown
Those Calloways,Walt Disney Productions,United States,English,131.0,0.0,3.5,1965-01-28,6.7,Norman Tokar,Unknown,Swiftwater,Buena Vista Distribution,' 'Atlanta Georgia' '
The Monkey's Uncle,Walt Disney Productions,United States,English,87.0,0.0,4.0,1965-08-18,6.1,Robert Stevenson,Ron Miller,No based,Buena Vista Distribution,Los Angeles
That Darn Cat!,Walt Disney Productions,United States,English,116.0,0.0,28.068222,1965-12-02,6.8,Robert Stevenson,Walt Disney,No based,Buena Vista Distribution,Unknown
The Ugly Dachshund,Walt Disney Productions,United States,English,93.0,0.0,6.2,1966-02-04,6.7,Norman Tokar,Walt Disney,The ugly dachshund,Buena Vista Distribution,Unknown
"Lt. Robin Crusoe, U.S.N.",Walt Disney Productions,United States,English,110.0,0.0,22.565634,1966-06-25,6.0,Byron Paul,Ron W. Miller,No based,Buena Vista Distribution,San Diego
The Fighting Prince of Donegal,Walt Disney Productions,United Kingdom,English,110.0,0.0,0.0,1966-10-01,6.2,Michael OHerlihy,Walt Disney,No based,Buena Vista Distribution,Unknown
The Fighting Prince of Donegal,Walt Disney Productions,United States,English,110.0,0.0,0.0,1966-10-01,6.2,Michael OHerlihy,Walt Disney,No based,Buena Vista Distribution,Unknown
"Follow Me, Boys!",Walt Disney Productions,United States,English,131.0,0.0,16.207116,1966-12-01,7.2,Norman Tokar,Walt Disney,God and my country (1954 novel),Buena Vista Distribution,Unknown
"Monkeys, Go Home!",Walt Disney Productions,United States,English,101.0,0.0,3.0,1967-02-08,5.9,Andrew V. McLaglen,Walt Disney,No based,Buena Vista Distribution,San Francisco
The Adventures of Bullwhip Griffin,Walt Disney Productions,United States,English,108.0,0.0,1.9,1967-03-08,6.6,James Neilson,Unknown,By the great horn spoon!,Buena Vista Distribution,United States
The Gnome-Mobile,Walt Disney Productions,United States,English,84.0,0.0,4.0,1967-07-12,6.6,Robert Stevenson,James Algar,The gnomobile novel,Buena Vista Distribution,Unknown
The Jungle Book,Walt Disney Productions,United States,English,78.0,4.0,378.0,1967-10-18,7.4,Wolfgang Reitherman,Walt Disney,The jungle book,Buena Vista Distribution,Unknown
"Charlie, the Lonesome Cougar",Walt Disney Productions,United States,English,75.0,0.0,0.0,1967-10-18,6.9,Rex Allen,Walt Disney,No based,Buena Vista Distribution,Unknown
The Happiest Millionaire,Walt Disney Productions,United States,English,164.0,5.0,5.0,1967-06-23,6.8,Norman Tokar,Walt Disney,My philadelphia father,Buena Vista Distribution,Unknown
Blackbeard's Ghost,Walt Disney Productions,United States,English,106.0,0.0,21.54005,1968-02-08,6.9,Robert Stevenson,Bill Walsh,No based,Buena Vista Distribution,Unknown
"The One and Only, Genuine, Original Family Band",Walt Disney Productions,United States,English,110.0,0.0,2.25,1968-03-21,6.5,Michael OHerlihy,Bill Anderson,"The family band: from the missouri to the black hills, 1881-1900",Buena Vista Distribution,Radio City Music Hall
Never a Dull Moment,Walt Disney Productions,United States,English,99.0,0.0,4.15,1968-06-26,6.2,Jerry Paris,Ron Miller,No based,Buena Vista Distribution,Unknown
The Horse in the Gray Flannel Suit,Walt Disney Productions,United States,English,113.0,0.0,3.3,1968-12-20,6.5,Norman Tokar,Winston Hibler,No based,Buena Vista Distribution Co.,Unknown
The Love Bug,Walt Disney Productions,United States,English,108.0,5.0,51.264,1968-12-24,6.5,Robert Stevenson,Bill Walsh,No based,Buena Vista Distribution,limited
Smith!,Walt Disney Productions,United States,English,112.0,0.0,1.3,1969-03-21,6.0,Michael OHerlihy,Bill Anderson,No based,Buena Vista Distribution,Unknown
Rascal,Walt Disney Productions,United States,English,93.0,0.0,0.0,1969-06-11,6.5,Norman Tokar,James Algar,Rascal,Buena Vista Distribution,Unknown
The Computer Wore Tennis Shoes,Walt Disney Productions,United States,English,91.0,0.0,5.5,1969-12-31,6.0,Robert Butler,Bill Anderson,No based,Buena Vista Distribution,Unknown
King of the Grizzlies,Walt Disney Productions,United States,English,93.0,0.0,0.0,1970-02-11,5.7,Ron Kelly,Winston Hibler,The biography of a grizzly,Buena Vista Distribution,Unknown
King of the Grizzlies,Walt Disney Productions,Canada,English,93.0,0.0,0.0,1970-02-11,5.7,Ron Kelly,Winston Hibler,The biography of a grizzly,Buena Vista Distribution,Unknown
The Boatniks,Walt Disney Productions,United States,English,100.0,0.0,18.607492,1970-07-01,5.5,Norman Tokar,Ron Miller,No based,Buena Vista Distribution,Unknown
The Wild Country,Walt Disney Productions,United States,English,100.0,0.0,4.0,1970-12-15,6.4,Robert Totten,Ron Miller,No based,Buena Vista Distribution,original release
The Aristocats,Walt Disney Productions,United States,English,79.0,4.0,191.0,1970-12-11,7.1,Wolfgang Reitherman,Winston Hibler,The aristocats,Buena Vista Distribution,Unknown
The Barefoot Executive,Walt Disney Productions,United States,English,96.0,0.0,0.0,1971-03-17,6.0,Robert Butler,Bill Anderson,No based,Buena Vista Distribution,Unknown
Scandalous John,Walt Disney Productions,United States,English,113.0,0.0,0.0,1971-06-22,6.2,Robert Butler,Bill Walsh,No based,Buena Vista Distribution,Unknown
Million Dollar Duck,Walt Disney Productions,United States,English,89.0,0.0,5.1,1971-06-30,5.9,Vincent McEveety,Bill Anderson,No based,Buena Vista Distribution,Unknown
Bedknobs and Broomsticks,Walt Disney Productions,United States,English,118.0,6.3,17.9,1971-10-07,7.1,Robert Stevenson,Bill Walsh,The magic bedknob & bonfires and broomsticks,Buena Vista Distribution,United Kingdom
The Biscuit Eater,Walt Disney Productions,United States,English,92.0,0.0,0.0,1972-03-22,5.7,Vincent McEveety,Bill Anderson,No based,Buena Vista Distribution,US
"Now You See Him, Now You Don't",Walt Disney Productions,United States,English,88.0,0.0,4.61,1972-07-12,6.3,Robert Butler,Ron Miller,No based,Buena Vista Distribution,Unknown
Napoleon and Samantha,Walt Disney Productions,United States,English,92.0,0.0,0.0,1972-07-05,6.0,Bernard McEveety,Winston Hibler,No based,Buena Vista Distribution,Unknown
"Run, Cougar, Run",Walt Disney Productions,United States,English,87.0,0.0,0.0,1972-10-18,6.4,Jerome Courtland,James Algar,The mountain lion,Buena Vista Distribution,Unknown
Snowball Express,Walt Disney Productions,United States,English,93.0,0.0,6.1,1972-12-22,6.5,Norman Tokar,Ron Miller,No based,Buena Vista Distribution,Unknown
The World's Greatest Athlete,Walt Disney Productions,United States,English,93.0,0.0,22.58337,1973-02-01,5.8,Robert Scheerer,Bill Walsh,No based,Buena Vista Distribution,Unknown
Charley and the Angel,Walt Disney Productions,United States,English,93.0,0.0,0.0,1973-03-23,6.1,Vincent McEveety,Bill Anderson,No based,Buena Vista Distribution,Unknown
One Little Indian,Walt Disney Productions,United States,English,90.0,0.0,2.0,1973-06-20,6.3,Bernard McEveety,Winston Hibler,No based,Buena Vista Distribution,Unknown
Robin Hood,Walt Disney Productions,United States,English,83.0,5.0,32.0,1973-11-08,6.6,Wolfgang Reitherman,Wolfgang Reitherman,The legend of robin hood,Buena Vista Distribution,Unknown
Superdad,Walt Disney Productions,United States,English,96.0,0.0,7.0,1973-12-14,5.2,Vincent McEveety,Bill Anderson,No based,Buena Vista Distribution,Unknown
Herbie Rides Again,Walt Disney Productions,United States,English,88.0,0.0,38.229,1974-06-06,5.7,Robert Stevenson,Bill Walsh,Characters,Buena Vista Distribution,Unknown
The Bears and I,Walt Disney Productions,United States,English,89.0,0.0,4.0,1974-07-31,6.2,Bernard McEveety,Winston Hibler,The bears and i,Buena Vista Distribution,Unknown
The Castaway Cowboy,Walt Disney Productions,United States,English,91.0,0.0,0.0,1974-08-01,5.9,Vincent McEveety,Ron Miller,No based,Buena Vista Distribution,Unknown
The Island at the Top of the World,Walt Disney Productions,United States,English,93.0,8.0,10.0,1974-12-20,6.3,Robert Stevenson,Winston Hibler,No based,Buena Vista Distribution,with Winnie the Pooh and Tigger Too
The Island at the Top of the World,Walt Disney Productions,United States,Swedish,93.0,8.0,10.0,1974-12-20,6.3,Robert Stevenson,Winston Hibler,No based,Buena Vista Distribution,with Winnie the Pooh and Tigger Too
The Island at the Top of the World,Walt Disney Productions,United States,Norwegian,93.0,8.0,10.0,1974-12-20,6.3,Robert Stevenson,Winston Hibler,No based,Buena Vista Distribution,with Winnie the Pooh and Tigger Too
The Island at the Top of the World,Walt Disney Productions,United States,Danish,93.0,8.0,10.0,1974-12-20,6.3,Robert Stevenson,Winston Hibler,No based,Buena Vista Distribution,with Winnie the Pooh and Tigger Too
The Island at the Top of the World,Walt Disney Productions,United States,Icelandic,93.0,8.0,10.0,1974-12-20,6.3,Robert Stevenson,Winston Hibler,No based,Buena Vista Distribution,with Winnie the Pooh and Tigger Too
The Strongest Man in the World,Walt Disney Productions,United States,English,92.0,0.0,6.6,1975-02-06,6.1,Vincent McEveety,Bill Anderson,No based,Buena Vista Distribution,Unknown
Escape to Witch Mountain,Walt Disney Productions,United States,English,97.0,0.0,20.0,1975-03-21,6.4,John Hough,Ron Miller,Escape to witch mountain,Buena Vista Distribution,U.S.
The Apple Dumpling Gang,Walt Disney Productions,United States,English,100.0,0.0,36.853,1975-07-24,6.5,Norman Tokar,Bill Anderson,No based,Buena Vista Distribution,Unknown
One of Our Dinosaurs is Missing,Walt Disney Productions,United Kingdom,English,100.0,0.0,5.5,1975-07-09,6.0,Robert Stevenson,Bill Walsh,The great dinosaur robbery,Buena Vista Distribution,Unknown
One of Our Dinosaurs is Missing,Walt Disney Productions,United States,English,100.0,0.0,5.5,1975-07-09,6.0,Robert Stevenson,Bill Walsh,The great dinosaur robbery,Buena Vista Distribution,Unknown
The Best of Walt Disney's True-Life Adventures,Walt Disney Productions,United States,English,89.0,0.0,0.0,1975-10-08,7.1,James Algar,Ben Sharpsteen,No based,Buena Vista Distribution,Unknown
Ride a Wild Pony,Walt Disney Productions,United States,English,91.0,1.0,0.0,1975-12-25,6.3,Don Chaffey,Jerome Courtland,A sporting proposition (novel),Buena Vista Distribution,Unknown
Ride a Wild Pony,Walt Disney Productions,Australia,English,91.0,1.0,0.0,1975-12-25,6.3,Don Chaffey,Jerome Courtland,A sporting proposition (novel),Buena Vista Distribution,Unknown
"No Deposit, No Return",Walt Disney Productions,United States,English,112.0,0.0,0.0,1976-02-11,6.5,Norman Tokar,Ron Miller,No based,Buena Vista Distribution,Los Angeles
Treasure of Matecumbe,Walt Disney Productions,United States,English,115.0,0.0,0.0,1976-07-01,6.2,Vincent McEveety,Bill Anderson,A journey to matecumbe,Buena Vista Distribution,Unknown
Gus,Walt Disney Productions,United States,English,95.0,0.0,21.873,1976-07-07,5.9,Vincent McEveety,Ron Miller,No based,Buena Vista Distribution,Unknown
The Shaggy D.A.,Walt Disney Productions,United States,English,91.0,0.0,10.5,1976-12-17,5.9,Robert Stevenson,Bill Anderson,The hound of florence,Buena Vista Distribution,Unknown
Freaky Friday,Walt Disney Productions,United States,English,95.0,5.0,36.0,1976-12-17,6.2,Gary Nelson,Ron Miller,Freaky friday,Buena Vista Distribution,Unknown
